tag,release_datetime
v1.0.415,2024-09-06T09:41:07
367e78a,2024-09-06T10:57:48
v1.0.416,2024-09-09T11:05:30
v1.0.417,2024-09-12T09:47:37
4774769,2024-09-16T07:40:26
v1.0.418,2024-09-19T08:56:44
v1.0.419,2024-09-26T09:19:01
v1.0.421,2024-10-03T08:58:09
v1.0.422,2024-10-10T09:35:32
v1.0.423,2024-10-11T10:47:16
v1.0.424,2024-10-17T08:22:04
f29cb50,2024-10-23T09:05:55
v1.0.425,2024-10-24T08:58:52
72dbac6,2024-10-24T14:28:17
f09e033,2024-10-24T14:56:14
v1.0.426,2024-10-31T10:18:20
0e98cf9,2024-11-05T14:08:26
v1.0.427,2024-11-07T13:54:06
v1.0.428,2024-11-15T11:32:41
1e11d8d,2024-11-19T15:07:42
v1.0.429,2024-11-21T14:02:39
d4c45da,2024-11-22T11:33:04
30bb085,2024-11-25T11:08:10
v1.0.430,2024-11-28T10:12:48
v1.0.431,2024-12-05T10:06:12
v1.0.432,2025-01-08T15:00:09
v1.0.433,2025-01-16T09:12:56
v1.0.434,2025-01-23T10:59:21
v1.0.435,2025-02-04T13:19:23
v1.0.436,2025-02-07T10:02:23
v1.0.437,2025-02-13T09:38:59
b401dd66,2025-02-26T08:10:43
v1.1.0,2025-02-26T10:16:42
v1.1.1,2025-03-06T08:45:04
d4cfcee3,2025-03-11T10:28:32
v1.1.2,2025-03-13T09:03:48
f7d8bbdb,2025-03-18T14:20:00
v1.1.3,2025-03-20T09:30:19
v1.1.4,2025-03-27T11:24:06
a5a9eb01,2025-04-02T08:29:51
v1.1.5,2025-04-03T09:40:52
v1.1.6,2025-04-11T07:26:44
9abeda75,2025-04-16T12:26:24
v1.1.7,2025-04-24T09:59:24
d3e663f1,2025-04-28T14:01:45
bdab252a,2025-05-02T08:37:48
v1.1.8,2025-05-08T09:13:15
v1.1.9,2025-05-15T15:07:09
v1.2.0,2025-05-29T09:20:29
2554ba78,2025-06-04T17:23:08
v1.2.1,2025-06-09T11:12:12
v1.2.3,2025-06-13T09:06:07
v1.3.0,2025-06-20T15:06:17
dbec68fd,2025-07-01T10:36:21
v1.3.1,2025-07-07T12:45:11
v1.3.2,2025-07-14T08:05:35
v1.3.3,2025-07-17T08:32:22
v1.3.4,2025-07-23T14:41:31
v1.3.5,2025-07-24T09:32:37
v1.3.6,2025-07-31T10:00:30
4599c8a3,2025-08-01T11:22:23
9184d873,2025-08-04T11:56:11
v1.3.7,2025-08-08T10:34:28
v1.3.8,2025-08-13T22:40:40
v1.3.9,2025-08-27T10:59:18
5eb5aacb,2025-09-01T11:17:43
v1.3.10,2025-09-01T14:27:40
v1.3.11,2025-09-03T11:57:52
281ae99a,2025-09-10T12:26:33
v1.4.1,2025-09-11T11:08:28
5a0bec30,2025-09-12T13:17:45
v1.4.2,2025-09-17T10:18:56
f8303f18,2025-10-01T09:59:44
a2160ea8,2025-10-01T10:47:53
v1.4.3,2025-10-01T11:47:41
v1.4.4,2025-10-01T13:29:43
c4a7c927,2025-10-03T14:07:48
10a68996,2025-10-05T08:21:38
